customer_id,customer_key,firstname,lastname,gender,marital_status,country,birthdate,customer_created_date
11000,AW00011000,Jon,Yang,Male,Married,null,1971-10-06,2025-10-06
11001,AW00011001,Eugene,Huang,Male,Single,null,1976-05-10,2025-10-06
11002,AW00011002,Ruben,Torres,Male,Married,null,1971-02-09,2025-10-06
11003,AW00011003,Christy,Zhu,Female,Single,null,1973-08-14,2025-10-06
11004,AW00011004,Elizabeth,Johnson,Female,Single,null,1979-08-05,2025-10-06
11005,AW00011005,Julio,Ruiz,Male,Single,null,1976-08-01,2025-10-06
11006,AW00011006,Janet,Alvarez,Female,Single,null,1976-12-02,2025-10-06
11007,AW00011007,Marco,Mehta,Male,Married,null,1969-11-06,2025-10-06
11008,AW00011008,Rob,Verhoff,Female,Single,null,1975-07-04,2025-10-06
11009,AW00011009,Shannon,Carlson,Male,Single,null,1969-09-29,2025-10-06
11010,AW00011010,Jacquelyn,Suarez,Female,Single,null,1969-08-05,2025-10-06
11011,AW00011011,Curtis,Lu,Male,Married,null,1969-05-03,2025-10-06
11012,AW00011012,Lauren,Walker,Female,Married,null,1979-01-14,2025-10-06
11013,AW00011013,Ian,Jenkins,Male,Married,null,1979-08-03,2025-10-06
11014,AW00011014,Sydney,Bennett,Female,Single,null,1973-11-06,2025-10-06
11015,AW00011015,Chloe,Young,Female,Single,null,1984-08-26,2025-10-06
11016,AW00011016,Wyatt,Hill,Male,Married,null,1984-10-25,2025-10-07
11017,AW00011017,Shannon,Wang,Female,Single,null,1949-12-24,2025-10-07
11018,AW00011018,Clarence,Rai,Male,Single,null,1955-10-06,2025-10-07
11019,AW00011019,Luke,Lal,Male,Single,null,1983-09-04,2025-10-07
11020,AW00011020,Jordan,King,Male,Single,null,1984-03-19,2025-10-07
11021,AW00011021,Destiny,Wilson,Female,Single,null,1984-03-02,2025-10-07
11022,AW00011022,Ethan,Zhang,Male,Married,null,1984-04-10,2025-10-07
11023,AW00011023,Seth,Edwards,Male,Married,null,1984-04-09,2025-10-07
11024,AW00011024,Russell,Xie,Male,Married,null,1984-03-16,2025-10-07
11025,AW00011025,Alejandro,Beck,Male,Married,null,1951-06-22,2025-10-07
11026,AW00011026,Harold,Sai,Male,Single,null,1951-10-01,2025-10-07
11027,AW00011027,Jessie,Zhao,Male,Married,null,1952-06-05,2025-10-07
11028,AW00011028,Jill,Jimenez,Female,Married,null,1951-10-09,2025-10-07
11029,AW00011029,Jimmy,Moreno,Male,Married,null,1952-06-19,2025-10-07
11030,AW00011030,Bethany,Yuan,Female,Married,null,1958-02-18,2025-10-07
11031,AW00011031,Theresa,Ramos,Female,Married,null,1953-02-18,2025-10-07
11032,AW00011032,Denise,Stone,Female,Married,null,1952-12-08,2025-10-07
11033,AW00011033,Jaime,Nath,Male,Married,null,1958-09-19,2025-10-07
11034,AW00011034,Ebony,Gonzalez,Female,Married,null,1952-12-16,2025-10-07
11035,AW00011035,Wendy,Dominguez,Female,Married,null,1953-08-23,2025-10-07
11036,AW00011036,Jennifer,Russell,Female,Married,null,1984-06-16,2025-10-07
11037,AW00011037,Chloe,Garcia,Female,Single,null,1983-05-27,2025-10-07
11038,AW00011038,Diana,Hernandez,Female,Married,null,1953-09-20,2025-10-07
11039,AW00011039,Marc,Martin,Male,Married,null,1954-06-16,2025-10-07
11040,AW00011040,Jesse,Murphy,Male,Married,null,1983-01-29,2025-10-07
11041,AW00011041,Amanda,Carter,Female,Married,null,1983-04-15,2025-10-07
11042,AW00011042,Megan,Sanchez,Female,Married,null,1982-12-11,2025-10-07
11043,AW00011043,Nathan,Simmons,Male,Married,null,1981-08-23,2025-10-07
11044,AW00011044,Adam,Flores,Male,Married,null,1954-11-21,2025-10-07
11045,AW00011045,Leonard,Nara,Male,Single,null,1955-11-16,2025-10-07
11046,AW00011046,Christine,Yuan,Female,Married,null,1955-09-19,2025-10-07
11047,AW00011047,Jaclyn,Lu,Female,Married,null,1955-08-27,2025-10-07
11048,AW00011048,Jeremy,Powell,Male,Married,null,1956-05-21,2025-10-07
11049,AW00011049,Carol,Rai,Female,Single,null,1986-01-15,2025-10-07
11050,AW00011050,Alan,Zheng,Male,Married,null,1957-03-06,2025-10-07
11051,AW00011051,Daniel,Johnson,Male,Single,null,1957-01-31,2025-10-07
11052,AW00011052,Heidi,Lopez,Female,Single,null,1957-02-03,2025-10-07
11053,AW00011053,Ana,Price,Female,Married,null,1986-02-17,2025-10-07
11054,AW00011054,Deanna,Munoz,Female,Married,null,1957-09-07,2025-10-07
11055,AW00011055,Gilbert,Raje,Male,Married,null,1957-09-02,2025-10-07
11056,AW00011056,Michele,Nath,Female,Married,null,1958-10-01,2025-10-07
11057,AW00011057,Carl,Andersen,Male,Married,null,1970-04-07,2025-10-07
11058,AW00011058,Marc,Diaz,Male,Married,null,1965-04-23,2025-10-07
11059,AW00011059,Ashlee,Andersen,Female,Single,null,1959-09-29,2025-10-07
11060,AW00011060,Jon,Zhou,Male,Married,null,1959-09-14,2025-10-07
11061,AW00011061,Todd,Gao,Male,Married,null,1976-02-20,2025-10-07
11062,AW00011062,Noah,Powell,Male,Married,null,1981-03-01,2025-10-07
11063,AW00011063,Angela,Murphy,Female,Single,null,1980-10-04,2025-10-07
11064,AW00011064,Chase,Reed,Male,Married,null,1981-06-05,2025-10-07
11065,AW00011065,Jessica,Henderson,Female,Married,null,1979-04-08,2025-10-07
11066,AW00011066,Grace,Butler,Female,Married,null,1979-05-27,2025-10-07
11067,AW00011067,Caleb,Carter,Male,Single,null,1982-03-25,2025-10-07
11068,AW00011068,Tiffany,Liang,Female,Single,null,1966-09-19,2025-10-07
11069,AW00011069,Carolyn,Navarro,Female,Single,null,1966-09-17,2025-10-07
11070,AW00011070,Willie,Raji,Male,Married,null,1960-10-02,2025-10-07
11071,AW00011071,Linda,Serrano,Female,Single,null,1960-12-23,2025-10-07
11072,AW00011072,Casey,Luo,Female,Single,null,1960-08-05,2025-10-07
11073,AW00011073,Amy,Ye,Female,Single,null,1962-02-11,2025-10-07
11074,AW00011074,Levi,Arun,Male,Single,null,1962-02-25,2025-10-07
